AccountKey,AccountType,AccountCategory,AccountSubCategory,AccountName,IsRevenue,SortOrder
1,Revenue,Operating Revenue,Product Sales,Product Revenue,1,1
2,Revenue,Operating Revenue,Service Sales,Service Revenue,1,2
3,Revenue,Other Revenue,Other,Other Operating Income,1,3
4,COGS,Cost of Goods Sold,Direct Materials,Raw Materials Cost,0,4
5,COGS,Cost of Goods Sold,Direct Labor,Direct Labor Cost,0,5
6,COGS,Cost of Goods Sold,Manufacturing Overhead,Manufacturing Overhead,0,6
7,Operating Expense,Selling Expense,Sales & Marketing,Sales & Marketing Expense,0,7
8,Operating Expense,G&A Expense,Personnel,Salaries & Wages,0,8
9,Operating Expense,G&A Expense,Personnel,Employee Benefits,0,9
10,Operating Expense,G&A Expense,Facilities,Rent & Utilities,0,10
11,Operating Expense,G&A Expense,Technology,IT & Software,0,11
12,Operating Expense,G&A Expense,Professional Services,Legal & Consulting,0,12
13,Operating Expense,Depreciation,Depreciation,Depreciation & Amortization,0,13
14,Other Expense,Financial Expense,Interest,Interest Expense,0,14
15,Tax,Income Tax,Income Tax,Income Tax Expense,0,15
